year,Title Count
2020,684
2019,2491
2018,2888
2017,2951
2016,2851
2015,2720
2014,2650
2013,2559
2012,2343
2011,2233
2010,2117
2009,2190
2008,2041
2007,1986
2006,1968
2005,1713
2004,1557
2003,1366
2002,1297
2001,1333
2000,1232
1999,1223
1998,1049
1997,982
1996,874
1995,872
1994,801
1993,771
1992,701
1991,734
1990,709
1989,793
1988,797
1987,774
1986,717
1985,630
1984,610
1983,584
1982,591
1981,572
1980,570
1979,553
1978,518
1977,576
1976,596
1975,542
1974,580
1973,635
1972,618
1971,632
1970,604
1969,565
1968,565
1967,522
1966,486
1965,469
1964,456
1963,429
1962,439
1961,430
1960,423
1959,412
1958,451
1957,430
1956,397
1955,404
1954,381
1953,410
1952,392
1951,366
1950,345
1949,337
1948,334
1947,297
1946,271
1945,245
1944,270
1943,271
1942,305
1941,312
1940,307
1939,300
1938,287
1937,309
1936,294
1935,289
1934,285
1933,256
1932,250
1931,229
1930,168
1929,132
1928,66
1927,58
1926,58
1925,52
1924,34
1923,27
1922,26
1921,34
1920,28
1919,33
1918,22
1917,14
1916,29
1915,21
1914,20
1913,10
1912,4
1911,1
1906,1
1894,1
