,Country,Movies count
0,USA,3348
1,France,3061
2,Germany,1659
3,UK,1575
4,Italy,1253
5,Canada,1088
6,Spain,934
7,Belgium,887
8,WestGermany,499
9,Japan,411
10,Switzerland,383
11,Sweden,365
12,Netherlands,364
13,China,352
14,HongKong,344
15,Mexico,334
16,Denmark,268
17,Australia,218
18,Luxembourg,215
19,Argentina,213
20,Austria,203
21,Norway,200
22,Ireland,192
23,Hungary,184
24,India,179
25,Portugal,171
26,Poland,168
27,Russia,140
28,CzechRepublic,140
29,Romania,139
30,Brazil,129
31,Greece,127
32,SouthAfrica,124
33,SouthKorea,111
34,Taiwan,106
35,Finland,102
36,Bulgaria,102
37,Israel,96
38,Yugoslavia,89
39,UnitedArabEmirates,79
40,Turkey,78
41,Croatia,75
42,Qatar,70
43,Slovakia,66
44,Morocco,65
45,Ukraine,62
46,Serbia,62
47,NewZealand,61
48,Singapore,60
49,Thailand,59
50,BosniaandHerzegovina,58
51,Iceland,57
52,Slovenia,54
53,SovietUnion,52
54,Philippines,52
55,Colombia,50
56,Chile,47
57,RepublicofNorthMacedonia,44
58,Iran,43
59,Cuba,42
60,Lithuania,33
61,Uruguay,33
62,Lebanon,32
63,Egypt,30
64,Tunisia,30
65,Estonia,30
66,Algeria,29
67,Malaysia,27
68,Latvia,27
69,Monaco,24
70,Czechoslovakia,23
71,Malta,23
72,Jordan,22
73,Albania,21
74,Liechtenstein,21
75,Cyprus,21
76,Palestine,20
77,Venezuela,19
78,Peru,18
79,Georgia,17
80,Kenya,16
81,Afghanistan,15
82,Senegal,15
83,Indonesia,15
84,EastGermany,14
85,Kazakhstan,14
86,Cambodia,14
87,Iraq,13
88,IsleOfMan,12
89,PuertoRico,12
90,DominicanRepublic,11
91,Pakistan,11
92,Kosovo,11
93,Bangladesh,10
94,Belarus,10
95,Montenegro,10
96,BurkinaFaso,9
97,Bolivia,8
98,Panama,8
99,Ethiopia,8
100,SaudiArabia,8
101,Armenia,8
102,Haiti,7
103,Nigeria,7
104,Bahamas,7
105,Vietnam,7
106,CaymanIslands,7
107,Côted'Ivoire,6
108,Tajikistan,6
109,Guatemala,6
110,Nepal,6
111,Mauritania,5
112,Ecuador,5
113,Aruba,5
114,NetherlandsAntilles,5
115,SerbiaandMontenegro,5
116,Kyrgyzstan,4
117,Cameroon,4
118,Angola,4
119,Ghana,4
120,Mali,4
121,Paraguay,4
122,TrinidadandTobago,4
123,Chad,4
124,Bahrain,4
125,Macao,4
126,Rwanda,4
127,Azerbaijan,4
128,Jamaica,3
129,Andorra,3
130,CostaRica,3
131,Zambia,3
132,Martinique,3
133,Mongolia,3
134,FederalRepublicofYugoslavia,3
135,TheDemocraticRepublicOfCongo,3
136,Uzbekistan,3
137,Bhutan,3
138,Moldova,3
139,Fiji,3
140,Myanmar,3
141,Laos,3
142,Sudan,3
143,SriLanka,2
144,Bermuda,2
145,Syria,2
146,Libya,2
147,Kuwait,2
148,Botswana,2
149,Nicaragua,2
150,Zaire,2
151,Namibia,2
152,CapeVerde,2
153,BritishVirginIslands,2
154,Liberia,2
155,Reunion,2
156,Samoa,2
157,Somalia,2
158,Suriname,1
159,Gabon,1
160,NorthKorea,1
161,Zimbabwe,1
162,Guinea-Bissau,1
163,Guinea,1
164,SvalbardAndJanMayen,1
165,Niger,1
166,Greenland,1
167,FaroeIslands,1
168,Mozambique,1
169,Yemen,1
170,NewCaledonia,1
171,PapuaNewGuinea,1
172,Honduras,1
173,Lesotho,1
174,Swaziland,1
175,EquatorialGuinea,1
176,Tanzania,1
177,Brunei,1
178,ElSalvador,1
179,Vanuatu,1
180,Belize,1
181,CookIslands,1
182,Maldives,1
183,Djibouti,1
184,Guadeloupe,1
185,Malawi,1
186,HolySee(VaticanCityState),1
187,Oman,1
188,Gibraltar,0
189,Uganda,0
190,Mauritius,0
191,Korea,0
