,Genre,Count
0,Drama,43799
1,Comedy,27276
2,Romance,13124
3,Action,12011
4,Thriller,10599
5,Crime,10473
6,Horror,8788
7,Adventure,7254
8,Mystery,4902
9,Family,3690
10,Fantasy,3552
11,Sci-Fi,3375
12,Biography,2302
13,History,2166
14,War,2109
15,Animation,1979
16,Musical,1900
17,Music,1612
18,Western,1545
19,Sport,1015
20,Film-Noir,661
21,Reality-TV,2
22,Documentary,1
23,News,1
