,production_company,number_of_movies
14661,Hal Wallis Productions,40
4215,Bavaria Film,40
13933,Golan-Globus Productions,39
11083,Erler Film,39
18400,Les Films Pelléas,38
29446,Two Cities Films,38
6740,Centar Film,38
2373,Aniplex,37
13547,Gaumont British Picture Corporation,37
1370,Agencja Produkcji Filmowej,37
2162,Amuse,37
9794,Dino de Laurentiis Cinematografica,37
9654,Dharma Productions,37
29008,Toei Animation,36
6778,Centre National du Cinéma et de l'Image Animée,36
28758,The Weinstein Company,36
8172,Compagnia Cinematografica Champion,36
15399,Hrvatska Radiotelevizija (HRT),36
6380,Cannon Group,36
5191,Blumhouse Productions,36
21612,Netflix,35
25000,Revolution Studios,35
13595,Gemini Films,35
21854,Nimbus Film Productions,34
30561,Why Not Productions,34
24854,Regency Enterprises,34
30825,X-Filme Creative Pool,34
8264,Concorde Pictures,34
21046,Motion Picture Corporation of America (MPCA),34
18354,Les Films 13,34
14974,Hemdale,34
10844,Embrafilme,34
9791,Dino De Laurentiis Company,33
18727,Lions Gate Films,33
3753,BKM Film,33
6767,Central Partnership,33
9529,Dentsu,33
6329,Canadian Film Development Corporation (CFDC),33
25038,Rialto Film,32
3031,Arts Council of England,32
21958,Nord-Ouest Films,32
7090,China Film Group Corporation (CFGC),32
6565,Cartel Pictures,32
15469,Hunnia Filmstúdió,32
27001,Solar Films,32
27743,StudioCanal,32
15874,Incorporated Television Company (ITC),31
10401,EMI Films,31
5616,British Film Institute (BFI),31
8106,Columbia Pictures Corporation,31
9916,Documento Film,31
2780,Aries Cinematográfica Argentina,31
23972,Producers Releasing Corporation (PRC),31
13215,Full Moon Entertainment,31
21874,Nippon Television Network (NTV),31
18747,Lisa-Film,31
2444,Antena 3 Televisión,30
907,ASA Film,30
8086,Colorado Film Production,30
6780,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,30
19130,Lux Film,30
28653,The Mirisch Corporation,30
19478,Madragoa Filmes,30
2742,Argentina Sono Film S.A.C.I.,30
11240,Euro International Film (EIA),30
1590,Alcon Entertainment,29
12105,Film Workshop,29
27388,Star Cinema,29
18465,Les Films du Losange,29
30332,Walt Disney Animation Studios,29
10171,DreamWorks Animation,29
9076,Daiei,29
10904,Empire Pictures,29
19319,MK2 Productions,29
23701,Posa Films,28
23632,Polygram Filmed Entertainment,28
29332,Troma Entertainment,28
18362,Les Films Ariane,28
21992,Norsk Film,28
6539,Carolco Pictures,28
25906,Sara Films,28
3593,Azerbaijanfilm,28
29545,Ugur Film,28
18108,Larry Darmour Productions,28
3078,Asahi Shimbun,28
17893,LGM Productions,28
12341,Films A2,28
7734,Cinémaginaire Inc.,28
14866,Haut et Court,27
25702,Saga Studio,27
1902,Alta Vista Productions,27
3799,BRON Studios,27
29967,Vertigo,27
2914,Art Theatre Guild (ATG),27
22817,Pan Européenne,27
10260,Duea Film,27
891,ARP Sélection,27
16565,Jadran Film,27
4361,Beijing Film Studio,27
29013,Toei Tokyo,26
24058,Produzioni Europee Associate (PEA),26
18480,Les Films du Worso,26
25328,Romulus Films,26
24710,Rectangle Productions,26
30329,Wallis-Hazen,26
12270,Filmirage,26
12675,Flora Film,26
344,4 1/2 Film,25
19624,Maipo Film,25
18032,Lakeshore Entertainment,25
20351,Merchant Ivory Productions,25
4356,Beijing Enlight Pictures,25
27341,Sri Venkateswara Creations,25
13785,Giorgos Karagiannis & Co.,25
5292,Bona Film Group,25
15760,Imagine Entertainment,25
1781,Alliance Atlantis Communications,25
22641,P.P. Film Polski,25
9385,Dean Film,25
2909,Art Pictures Studio,25
182,21st Century Film Corporation,25
12062,Film Polski,25
23090,Paul Malvern Productions,25
1489,Akün Film,25
12128,Film4,25
25161,Rizzoli Film,25
11434,Eyeworks Film & TV Drama,24
20382,Merry Film,24
29275,Trimark Pictures,24
18462,Les Films du Kiosque,24
12982,Franco London Films,24
1638,Alexandre Films,24
27383,Stanley Kramer Productions,24
29613,Union Générale Cinématographique (UGC),24
9151,Danmarks Radio (DR),24
10838,Embassy Pictures,24
20435,Metro-Goldwyn-Mayer British Studios,24
12936,Fox STAR Studios,24
6805,Centurion,24
2443,Antena 3 Films,24
2274,Angel Digital Private Limited,24
14935,Hedayat Film,24
18358,Les Films Alain Sarde,23
11885,Fidélité Productions,23
29522,UTV Motion Pictures,23
3338,Atresmedia Cine,23
30210,Viva Films,23
11884,Fidélité Films,23
2167,Amuse Soft Entertainment,23
13579,Geetha Arts,23
2095,American Playhouse,23
28447,Terra Studio,23
17512,Kings Road Entertainment,23
15946,Indigo Film,23
8325,Conspiração Filmes,23
4503,Benedict Bogeaus Production,23
24046,Produzioni Atlas Consorziate (P.A.C.),23
4241,Bazelevs Production,23
6378,Cannon Films,23
15829,Impress Telefilm,23
3075,Asahi Broadcasting Corporation (ABC),23
25851,Sandrews,23
31085,"Zespól Filmowy ""Kadr""",22
26606,Sigmund Neufeld Productions,22
26995,Sol Lesser Productions,22
7895,Clesi Cinematografica,22
6022,CBS Films,22
1231,Adel Productions,22
8704,Croatia Film,22
26091,Screen Australia,22
9336,De Laurentiis Entertainment Group (DEG),22
11086,Erman Film,22
24924,Renn Productions,22
16438,J. Arthur Rank Organisation,22
4655,Bianca Film,22
24270,Quad Productions,22
18519,Les films du 24,22
20105,Max Films Productions,22
8893,D & B Films Co. Ltd.,22
3545,Avsar Film,21
5202,Bo Ho Film Company Ltd.,21
21058,Motlys,21
24850,Regal Films,21
1684,Alicéléo,21
4825,Bioskop Film,21
11631,Falcon Pictures,21
12277,Filmituotanto Spede Pasanen,21
7244,Cine Bazar,21
10878,Emmett/Furla/Oasis Films (EFO Films),21
7204,CiBy 2000,21
1910,Altavista Films,21
10087,Dovzhenko Film Studios,21
29356,Trésor Films,21
3189,Associated Producers (API),21
28238,Tallinnfilm,21
7412,Cinema City,21
23069,Pathé,21
4584,Besiktas Kültür Merkezi (BKM),21
13937,Gold Circle Films,20
21491,National Film Development Corporation of India (NFDC),20
23286,Peter Rogers Productions,20
17490,King Brothers Productions,20
11874,Fida Cinematografica,20
10974,Enjoy Movies,20
6630,Castelao Producciones,20
6706,Cecchi Gori Group Fin.Ma.Vi.,20
1341,After Dark Films,20
18866,Lolafilms,20
25192,Robert E. Kent Productions,20
29970,Vertigo Films,20
1771,Allegro Films,20
7680,Cineville,20
18743,Lira Films,20
7810,Cité Films,20
2119,Amicus Productions,20
12291,Filmlance International AB,20
19163,Légende Films,20
7411,Cinema Center Films,20
12443,Filmways Pictures,20
10639,Eisei Gekijo,20
6765,Central Motion Pictures,20
310,3B Productions,20
26421,Shin Ei Animation,20
6076,CJ E&M Film Financing & Investment Entertainment & Comics,19
24610,Rapid Film,19
21189,Mukta Arts,19
18369,Les Films Corona,19
28133,TMS Entertainment,19
11298,Everest Entertainment,19
22844,Pandora Filmproduktion,19
12974,Franchise Pictures,19
2726,Arena Films,19
24879,Relativity Media,19
4654,BiBi Film,19
20051,Matila Röhr Productions (MRP),19
1649,Alfama Films,19
27932,Suresh Productions,19
12280,Filmkameratene A/S,19
23414,Pierre Grise Productions,19
11829,Fennada-Filmi,19
3855,Bac Films,19
24707,Recorded Picture Company (RPC),19
10828,Elías Querejeta Producciones Cinematográficas S.L.,19
10240,Dub,19
16093,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),19
12413,Filmsonor,18
30602,Wildside,18
26483,Shooting Star Filmcompany BV,18
172,20th Century Pictures,18
24608,Rapi Films,18
10021,Dor Film Produktionsgesellschaft,18
30234,Voltage Pictures,18
23626,PolyGram Filmed Entertainment,18
6626,Castel Film Romania,18
6439,Capitol Films,18
8187,Compagnie Industrielle et Commerciale Cinématographique (CICC),18
25713,Sahamongkol Film International,18
19489,Mafilm,18
2107,American Zoetrope,18
14972,Helsinki-Filmi,18
3715,BD Cine,18
18366,Les Films Christian Fechner,18
13902,Go Films,18
11258,Europa Film,18
29418,Twentieth Century-Fox Productions,18
11730,Faso Film,18
25261,Rodeo Drive,18
2754,Argos Films,18
11338,Ex Nihilo,18
26208,Selznick International Pictures,18
13358,GAGA,18
24462,Raajkamal Films International,18
8874,Cyfuno Ventures,18
13236,Fulvia Film,18
22240,Odessa Film Studios,18
14709,HandMade Films,18
28356,Teamfilm AS,18
9882,Divina-Film,18
26585,Sidus,18
7939,Clover Productions,18
16094,Instituto Mexicano de Cinematografía (IMCINE),17
20327,Memfis Film,17
10291,Duplass Brothers Productions,17
29691,Universe Entertainment,17
11030,Eon Productions,17
2402,Annapurna Pictures,17
5969,C.G. Silver Film,17
23249,Perlberg-Seaton Productions,17
18983,Lotus Production,17
5953,C.A.P.A.C.,17
11131,Eskwad,17
22007,North Bank Entertainment,17
993,Aashirvad Cinemas,17
15565,IDTV Film,17
5761,Budapest Filmstúdió,17
25039,Rialto Film Preben-Philipsen,17
2989,Artisan Entertainment,17
18453,Les Films du Carrosse,17
11042,Epithète Films,17
19991,Mary Pickford Company,17
24553,Rajshri Productions,17
20001,Mascot Pictures,17
20260,Medusa Distribuzione,17
12560,First Look International,17
4421,Bel-Air Productions,17
22803,Palomar,17
25282,Rogue Pictures,17
9859,Distant Horizon,17
16543,Jack Rollins & Charles H. Joffe Productions,17
24867,Regner Grasten Film,17
12268,Filminor,17
30112,Villealfa Filmproductions,17
1786,Alliance Communications Corporation,17
360,40 Acres & A Mule Filmworks,17
15921,Indiana Production,17
27414,StarVision Plus,17
17133,Kadokawa Haruki Jimusho,17
10891,Emperor Film Production,17
24356,R.K. Films Ltd.,17
5927,Bórd Scannán na hÉireann,17
7089,China Film Co-Production Corporation,16
29090,Topkapi Films,16
5624,British National Films,16
29031,Tokyo Broadcasting System (TBS),16
2419,Anonymous Content,16
586,A Private View,16
30616,William Castle Productions,16
10564,Edko Films,16
2870,Arrowstorm Entertainment,16
1896,Alta Films,16
3193,Association Coopérative des Productions Audio-Visuelles (ACPAV),16
29611,Union Film,16
25033,Rhombus Media,16
15838,In Film Praha,16
20212,Media Pro Pictures,16
25518,Rysher Entertainment,16
18942,Lorimar Film Entertainment,16
9766,Diler & Associados,16
6484,Caravan Pictures,16
11246,Eurociné,16
22603,Overseas FilmGroup,16
18307,Lemming Film,16
12482,Fine Line Features,16
24632,Rat Pack Filmproduktion,16
7638,Cineriz,16
22149,ODU Movies,16
28155,TS Productions,16
908,ASA Film Produktion ApS,16
24414,RKO Pathé Pictures,16
3662,B.O.B. and Partners,16
5252,Boje Buck Produktion,16
1778,Allfilm,16
7844,Clasa Films Mundiales,16
19883,Marimark Productions,16
3960,Balaji Motion Pictures,16
7565,Cinematográfica Calderón S.A.,16
21968,Nordisk Film Production,16
1330,Afoi Roussopoulloi,16
26969,Société Nouvelle de Cinématographie (SNC),16
30391,Warwick Film Productions,16
26979,Société des Etablissements L. Gaumont,16
30049,Vides Cinematografica,16
25660,SVT Drama,16
15880,Independent Artists,15
22345,Omega Entertainment,15
26602,Sigma Film Productions,15
3084,Asatsu-DK,15
1610,Aleph Media,15
2106,American World Pictures (AWP),15
2028,Amblin Entertainment,15
5734,Bryan Foy Productions,15
25858,Saner Film,15
7580,Cinemaundici,15
7538,Cinemaster S.r.l.,15
9604,Deutsche Film- und Fernsehakademie Berlin (DFFB),15
9637,Devon Film,15
4196,Batjac Productions,15
27368,Stage 6 Films,15
10667,El Deseo,15
23221,Percept Picture Company,15
15415,Huayi Brothers Media,15
2404,Annapurna Studios,15
16737,Jerry Wald Productions,15
27871,Sunrise,15
8229,Comptoir Français du Film Production (CFFP),15
8409,Coop99 Filmproduktion,15
15606,IRS Media,15
20984,Morena Films,15
4808,Bing Crosby Productions,15
15645,Icon Entertainment International,15
12142,FilmFour,15
11600,Fair Film,15
702,A.V.M. Productions,15
1483,Akson Studio,15
9899,Django Film,15
28641,The Malpaso Company,15
2001,Amazon Studios,15
26217,Senator Film Produktion,15
14160,Goskino,15
13962,Goldcrest Films International,15
13826,Glass Eye Pix,15
14178,Graal,15
1765,Allegro Film,15
3278,Atlantic Entertainment Group,15
13665,George H. Brown Productions,15
6829,Ceskoslovenský Státní Film,15
29988,Viacom18 Motion Pictures,15
1918,Alter Films,15
3507,Avex Entertainment,15
3783,BNT,15
5372,Bos Bros. Film & TV Productions,15
17561,Kinorama,15
3358,Aubrey Schenck Productions,15
5620,British International Pictures (BIP),15
29161,Trans World Entertainment (TWE),15
13451,Galatea Film,15
16722,Jeonwonsa Film,14
30642,Win's Movie Productions Ltd.,14
7476,Cinema Service,14
18386,Les Films Manuel Munz,14
29501,UFA Fiction,14
6349,Canana Films,14
25314,Romania Film,14
26141,Seasonal Film Corporation,14
14577,HBO Films,14
21301,Mystique Films Inc.,14
11035,Epic Productions,14
12622,Flach Film,14
15237,Hollywood Media Bridge,14
12547,First Floor Features,14
3785,BOB Film Sweden AB,14
5621,British Lion Film Corporation,14
20280,Megafilm,14
24612,Rapid Heart Pictures,14
30745,Woodfall Film Productions,14
14902,Head Gear Films,14
22063,Nouvelles Éditions de Films (NEF),14
19183,M&M Productions,14
16898,Joseph M. Schenck Productions,14
25273,Roger Corman Productions,14
15006,Herbert Wilcox Productions,14
23991,Production I.G.,14
29489,Téléma,14
29672,Universal 1440 Entertainment,14
11282,Euterpe,14
12967,France 3 Cinéma,14
805,AGS Entertainment,14
5680,Brooksfilms,14
2056,American Broadcasting Company (ABC),14
21476,Nat Holt Productions,14
26272,Seven Arts Productions,14
10827,Eléfilm,14
10826,Elzévir Films,14
3455,Automatik Entertainment,14
23219,Per Holst Filmproduktion,14
29907,Vega Film,14
29961,Versus Production,14
15558,ICE3,14
14491,Gullane,14
2281,Angel Films,14
17885,LD Entertainment,14
659,A.C. Lyles Productions,14
15798,Impala,14
28522,The Cannon Group,14
11350,Excelsa Film,14
2081,American Independent Productions,14
19305,MGN Filmes,14
24146,Proton Cinema,14
24943,Republic Pictures Corporation (I),13
2333,Anima Estudios,13
29799,VEB DEFA-Studio für Spielfilme,13
19480,Madras Talkies,13
28088,TAFF Pictures,13
6164,Cabin Fever Entertainment,13
11915,Fildebroc,13
15638,Icelandic Film,13
8407,Coop Vidéo de Montréal,13
683,A.M.A. Film,13
19829,MarVista Entertainment,13
11009,Entertainment One,13
17674,Komplizen Film,13
24336,R&C Produzioni,13
23800,Press On Features,13
4905,Black Fawn Films,13
24887,Reliance Entertainment,13
7757,Circe Films,13
17302,Katsu Production,13
848,AMLF,13
30378,Warner Bros./Seven Arts,13
20324,Melvin Simon Productions,13
10577,Edward R. Pressman Film,13
2509,Aoi Promotion,13
3668,B.R.C. Produzione S.r.l.,13
2250,Andrew L. Stone Productions,13
9576,Destination Films,13
7998,Cocinor,13
7891,Clemi Cinematografica,13
23482,Pixar Animation Studios,13
6524,Carnaby International,13
5260,Bold Films,13
9707,Diaphana Films,13
8831,Curiosa Films,13
17608,Kitty Films,13
7610,Cineplex Odeon Films,13
28973,Tips Films Pvt. Ltd.,13
27132,Soyuzmultfilm,13
5737,Bryna Productions,13
3000,Artista Filmi Oy,13
27701,Studio Green,13
4122,Barefoot Films,13
30763,Working Title Films,13
13009,Franz Seitz Filmproduktion,13
18823,Lo Wei Motion Picture Company,13
8656,Creativos Asociados de Radio y Televisión (CARTEL),13
3878,Backup Media,13
25438,Royal Oaks Entertainment Inc.,13
6085,CL Productions,13
9283,Davis Entertainment,13
6625,Castafiore Films,13
17129,Kadokawa,13
17462,Kim Ki-Duk Film,13
24252,Pyramide Productions,13
16908,José Frade Producciones Cinematográficas S.A.,13
12532,First Artists,13
21084,Move Movie,13
24212,Pupkin Film,13
4620,Beyond Films,13
2188,Anagram,13
2704,Arco Film,13
7185,Chukyo TV Broadcasting Company (CTV),13
1511,Alameda Films,13
26252,Serendipity Point Films,13
22862,Panorama Studios,13
22854,Pannónia Filmstúdió,13
12479,Fine Arts Film Company,13
11560,Fabula,13
17454,Killer Films,13
8745,Crown International Pictures,13
16432,J&M Entertainment,13
17276,Karé Productions,13
24966,Reteitalia,13
17220,Kanun parvaresh fekri,12
19984,Marvel Studios,12
16129,Intercapital,12
16406,Ivan Tors Productions,12
1563,Albina Productions S.a.r.l.,12
17327,Kazakhfilm Studios,12
20642,Minds Eye Entertainment,12
30788,Worldview Entertainment,12
29980,Vestron Pictures,12
19276,MD Pictures,12
17135,Kadokawa Pictures,12
30472,Werner Herzog Filmproduktion,12
17042,K.G. Productions,12
30293,WWE Studios,12
19470,Madhouse,12
6589,Casa de Filme Cinci,12
12326,Filmpool Nord,12
28174,TVN,12
22963,Paramount Vantage,12
6884,Chang Hong Channel Film & Video,12
14352,Greenway Entertainment,12
28070,T-Series,12
23083,Patriot Pictures,12
4883,Black Bear Pictures,12
24522,Rai Cinema,12
26582,Sidney Kimmel Entertainment,12
6930,Chapter 2,12
6330,Canadian Film or Video Production Tax Credit (CPTC),12
2955,Artfilm,12
21378,NL Film,12
25795,Same Player,12
23202,Penta Film,12
21574,Nelvana,12
12422,Filmstudio Bucuresti,12
11803,Feifer Worldwide,12
265,3 Arts Entertainment,12
18102,Largo Entertainment,12
22004,North American Pictures,12
21997,Norstar Entertainment,12
6733,Cem Film,12
3827,Baa-Ram-Ewe,12
28936,Tigon British Film Productions,12
22280,Ognon Pictures,12
3500,Avenue Pictures,12
28561,The Film,12
12965,France 2 Cinéma,12
17962,La Petite Reine,12
6822,Cerito Films,12
12897,Four Leaf Productions,12
12725,Focus Films,12
21657,New Century Production,12
25076,Rigas Kinostudija,12
18389,Les Films Marcel Pagnol,12
27062,Sony Pictures Classics,12
26062,Scorpio Film Releasing,12
29557,Ultra Film,12
23525,Plato Film Production,12
11344,Excel Entertainment,12
11296,Event Film Distribution,12
15311,Hopalong Cassidy Productions Inc.,12
8978,DENTSU Music And Entertainment,12
5427,Boxoffice International Pictures (BIP),12
18503,Les Productions La Fête Inc.,12
31240,micro_scope,12
10981,Enrique Cerezo Producciones Cinematográficas S.A.,12
24097,Promark Entertainment Group,12
27266,Sputnik,12
10436,Eagle Films,12
7142,Christal Films,12
10505,Ecce Films,12
27042,Sonet Film AB,12
22079,Novotny & Novotny Filmproduktion GmbH,12
151,2.4.7. Films,12
2710,Arcola Pictures,12
21032,Motel Films,12
27748,Studioul Cinematografic Bucuresti,12
18450,Les Films des Tournelles,12
8495,Corsan,11
28629,The Ladd Company,11
18435,Les Films de la Boétie,11
12933,Fox International Productions (FIP),11
11044,Epo-Film Produktionsgesellschaft,11
8626,Creative Commercials,11
13101,Fridthjof Film,11
28627,The Kushner-Locke Company,11
17498,King Records,11
884,ARD Degeto Film,11
11194,Estudios Churubusco Azteca S.A.,11
23953,Producciones Rodríguez Hermanos,11
10608,Egoli Tossell Film,11
27944,Surrender Cinema,11
5140,Blue Rider Pictures,11
16851,Jolly Film,11
787,ADR Productions,11
5016,Bleiberg Entertainment,11
3729,BFI Film Fund,11
1645,Alfa Film,11
28498,The Archers,11
5226,Bocaboca Producciones,11
4632,Bh5,11
12057,Film Par Film,11
28014,Swirl Films,11
12157,FilmTeknik,11
12193,Filmax,11
1484,Aksoy Film,11
1166,Action Films,11
19732,Mandarin Films Distribution,11
18463,Les Films du Lendemain,11
12321,Filmpartners,11
30305,Wakamatsu Production,11
13606,Geneon Entertainment,11
27890,Super Cassettes Industries Limited (T-Series),11
7402,Cinema Art,11
7866,Claussen Wöbke Putz Filmproduktion,11
6480,Caramel Film,11
6343,Canal Sur Televisión,11
22562,Otto Preminger Films,11
17468,Kindai Eiga Kyokai,11
8246,Conacite Uno,11
15496,Hybrid,11
18605,Lietuvos Kinostudija,11
19282,MDP Worldwide,11
29607,Unified Pictures,11
20891,Monolith Films,11
2219,Anchor Bay Films,11
19025,Lucasfilm,11
29103,Tornasol Films,11
7181,Chubu-nippon Broadcasting Company (CBC),11
706,A24,11
3210,Astral Bellevue Pathé,11
21620,Neue Deutsche Filmgesellschaft (NDF),11
26616,Sil-Metropole Organisation,11
21186,Muhtesem Film,11
14032,Goldfinch,11
14388,Grindstone Entertainment Group,11
2795,Arizona Films,11
21508,National Theatre,11
2911,Art Port,11
21488,National Film Board of Canada (NFB),11
14422,Group Film Productions Limited,11
19093,Lumière & Company,11
15737,Image Organization,11
6949,Charles Chaplin Productions,11
2941,Artcam International,11
644,A. Film,11
26373,Shapiro-Glickenhaus Entertainment,11
17531,Kino Swiat,11
18945,Lorimar Productions,11
29675,Universal Film Manufacturing Company,11
8936,D.W. Griffith Productions,11
24886,Reliance Big Pictures,11
1888,Alquimia Cinema,11
17662,Kokuei Company,11
8097,Colour Yellow Productions,11
20804,Modernciné,10
23250,Permut Presentations,10
23977,Producers-Actors Corporation,10
2751,Argonauts Productions S.A.,10
10695,ElSobky Film,10
14752,Happinet.,10
15555,IBC Movie,10
6307,Campfire,10
1305,Aeroplano Cine,10
5026,Blind Spot Pictures Oy,10
29436,Twisted Pictures,10
25221,Robot Communications,10
5939,C&I Entertainment,10
16778,Jing's Production,10
30379,Warner Brothers-First National Productions,10
9174,Darius Films,10
30371,Warner Bros. Animation,10
10462,East Japan Marketing & Communications Inc.,10
14543,Güney Film,10
19878,Marianne Productions,10
24468,RabbitBandini Productions,10
20791,Moby Dick Films,10
2695,Archipel 35,10
29663,United States Pictures,10
27081,Soraya Intercine Film PT,10
11128,Eskay Movies,10
2471,Anto Joseph Film Company,10
5377,Bosna Film,10
10233,Dschoint Ventschr Filmproduktion AG,10
24377,RAI Radiotelevisione Italiana,10
15567,IFC Films,10
10164,Dream Warrior Pictures,10
29782,V. Creations,10
11360,Exclusive Media Group,10
5299,BondIt Media Capital,10
8916,D.D.L.,10
15570,IFD Films and Arts,10
27968,Svensk Talfilm,10
1167,Action International Pictures (AIP),10
1178,Active Entertainment,10
26489,Shoreline Entertainment,10
11444,F Comme Film,10
5267,Boll Kino Beteiligungs GmbH & Co. KG,10
29511,UK Film Council,10
8922,D.M.S. Films,10
29510,UGC YM,10
27130,Soyuzdetfilm,10
5727,Brut Productions,10
2507,Anzervos,10
3663,B.O.M. Film Productions Co.,10
25574,SBS Productions,10
29270,Triglav Film,10
9688,Dialóg Filmstúdió,10
26643,Silver Peak Productions,10
6835,Cesáreo González Producciones Cinematográficas,10
21689,New Horizons Picture,10
1611,Aleph Producciones S.A.,10
16339,Island Pictures,10
3315,Atlántida Films,10
12923,Fox Atomic,10
21714,New Regency Pictures,10
6570,Carthago Films S.a.r.l.,10
20402,Metafilms,10
3369,Audiovisual Aval SGR,10
22461,Opus Film,10
29015,Toei Video Company,10
2307,Anglo-EMI,10
30127,Vinod Chopra Productions,10
13881,Gloria Films,10
8713,Crone Film Produktion A/S,10
16196,International Video 80,10
22313,Olga Film,10
7335,Cinecittà,10
3536,Avon Productions (II),10
13384,GH Pictures,10
22185,Obel Film,10
8663,Credofilm,10
22126,O Som e a Fúria,10
6730,Celluloid Dreams,10
28782,Thelma Films,10
20308,Melenny Productions,10
1591,Alcor Films,10
28448,Terra-Filmkunst,10
16392,Item 7,10
26927,Snowfort Pictures,10
6347,Canal+ Polska,10
23122,Peace Arch Entertainment Group,10
1381,Agidi,10
9232,Darryl F. Zanuck Productions,10
13667,George King Productions,10
12035,Film Kraft,10
3052,Artémis Productions,10
9264,David Foster Productions,10
8516,Cosmopolitan Film Productions,10
23077,Pathé Renn Productions,10
12077,Film Science,10
15851,In-Cine Compañía Industrial Cinematográfica,10
23032,Parts and Labor,10
14362,Greka Film,10
28414,Tempean Films,10
4680,Big Beach Films,10
21552,Negativ,10
30259,Vyjayanthi Movies,10
15903,Independent-International Pictures,10
12333,Films & Casting Temple Pvt. Ltd. Sydney,10
14197,Gramercy Pictures (I),10
21644,New Artists Alliance,10
24628,Rastar Films,10
20101,Mavi Film,10
4454,Belladonna Productions,10
4428,Belarusfilm,10
26871,Slovenská filmová tvorba Koliba (SFT),10
22715,PVPictures,10
21469,Nasir Hussain Films,10
9230,Daro Film Distribution,10
619,A&M Films,10
7630,Cinerenta Medienbeteiligungs KG,10
7618,Cineproduzioni Daunia 70,10
831,ALT Entertainment,10
17831,Kyoto Animation,10
18735,Lippert Pictures,10
17573,Kinotar,10
7720,Cinéa,10
7733,Cinémadefacto,10
30860,Yale Productions,10
30837,Xi'an Film Studio,10
30814,Wüste Film,10
31122,Zip Cinema,10
31140,Zoetrope Studios,10
202,24 Frames Factory,10
18647,Lightning Pictures,10
18504,Les Productions Lazennec,10
