,production_company,number_of_movies
20433,Metro-Goldwyn-Mayer (MGM),1270
30370,Warner Bros.,1149
8105,Columbia Pictures,913
22958,Paramount Pictures,890
29414,Twentieth Century Fox,864
29680,Universal Pictures,730
24417,RKO Radio Pictures,535
21021,Mosfilm,277
29676,Universal International Pictures (UI),272
6344,Canal+,229
24941,Republic Pictures (I),208
21700,New Line Cinema,205
6078,CJ Entertainment,168
26387,Shaw Brothers,166
29018,Toho Company,158
12566,First National Pictures,152
29121,Touchstone Pictures,140
13989,Golden Harvest Company,138
26457,Shochiku,138
18311,Lenfilm Studio,136
12320,Filmové studio Barrandov,134
30334,Walt Disney Pictures,133
30336,Walt Disney Productions,129
21840,Nikkatsu,118
13545,Gaumont,117
12501,Finos Film,117
21367,NH Studioz,115
20889,Monogram Pictures,114
29010,Toei Company,112
28697,The Rank Organisation,111
899,ARTE,109
12927,Fox Film Corporation,106
29241,TriStar Pictures,101
20604,Millennium Films,96
20703,Miramax,93
27967,Svensk Filmindustri (SF),89
10170,DreamWorks,88
3700,BBC Films,87
6346,Canal+ España,86
3469,Avala Film,86
9079,Daiei Studios,86
8329,Constantin Film,85
14690,Hammer Films,84
25783,Sam Katzman Productions,84
18728,Lionsgate,80
21966,Nordisk Film,78
2084,American International Pictures (AIP),78
17571,Kinostudiya imeni M. Gorkogo,77
4049,Bandai Visual Company,74
22519,Orion Pictures,73
12937,Fox Searchlight Pictures,73
11263,EuropaCorp,71
9774,Dimension Films,71
1805,Allied Artists Pictures,70
25654,SVF Entertainment,69
13194,Fuji Television Network,68
28712,The Samuel Goldwyn Company,68
13440,Gainsborough Pictures,68
26095,Screen Gems,68
16384,Italian International Film,67
27834,Summit Entertainment,67
12115,Film i Väst,66
10443,Ealing Studios,65
6638,Castle Rock Entertainment,64
12922,Fox 2000 Pictures,64
6905,Channel Four Films,64
6677,Cattleya,63
13872,Globo Filmes,63
28500,The Asylum,62
753,ABS-CBN Film Productions,62
8265,Concorde-New Horizons,62
18881,London Film Productions,62
12192,Filmauro,60
11666,Fandango,60
21746,New World Pictures,60
6832,Ceská Televize,59
3180,Associated British Picture Corporation (ABPC),58
6708,Cecchi Gori Group Tiger Cinematografica,58
7095,China Star Entertainment,57
10580,Edward Small Productions,57
14294,Greek Film Center,57
14836,Harry Sherman Productions,57
22677,PM Entertainment Group,56
5431,Boyana Film,56
2947,Arte France Cinéma,55
9144,Dania Film,54
5608,British Broadcasting Corporation (BBC),54
15239,Hollywood Pictures,54
1358,Agat Films & Cie,54
12723,Focus Features,53
9588,Det Danske Filminstitut,52
3069,Arzu Film,52
14660,Hal Roach Studios,52
31051,Zentropa Entertainments,51
9602,Deutsche Film (DEFA),51
7659,Cinetel Films,51
6139,CTB Film Company,50
30872,Yash Raj Films,50
6758,Central Cinema Company Film (CCC),50
3436,Australian Film Finance Corporation (AFFC),50
17236,Karagiannis-Karatzopoulos,49
29696,Universum Film (UFA),49
13549,Gaumont International,49
29628,United Artists,49
13681,Georgian-Film,49
3153,Asmik Ace Entertainment,46
19731,Mandarin Films,45
8517,Cosmopolitan Productions,45
27888,Suomen Filmiteollisuus,44
30344,Walter Wanger Productions,44
23445,Pine-Thomas Productions,43
28987,Titanus,43
16095,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),43
4234,Bayerischer Rundfunk (BR),41
20192,Media Asia Films,41
5628,British Screen Productions,41
11698,Farabi Cinema Foundation,41
20985,Morgan Creek Entertainment,40
20261,Medusa Film,40
11094,Eros International,40
